Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2005100393644,2005-09-23 00:00:00,2005-09-06 00:00:00,LAX,Los Angeles International Airport,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Currency,8.0,Approved,8.0,Approve in Full,17.0,0.0
2006010698963,2005-12-30 00:00:00,2005-08-12 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),81.39,Denied,0.0,Deny,140.0,81.39
2006042505347,2006-04-17 00:00:00,2006-03-12 00:00:00,LAS,McCarran International,UAL,Passenger Property Loss,Checked Baggage,Locks,11.0,Denied,0.0,Deny,36.0,11.0
2009062960698,2009-06-23 00:00:00,2009-05-25 00:00:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),200.0,Denied,0.0,Deny,29.0,200.0
2004122270314,2004-11-15 00:00:00,2004-10-16 00:00:00,MSP,Minneapolis/ St.Paul International Airport,America West,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,300.0,Denied,0.0,Deny,30.0,300.0
2007032923205,2007-03-28 00:00:00,2007-03-27 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checkpoint,Cell Phones,59.95,Denied,0.0,Deny,1.0,59.95
2009052959613,2009-05-21 00:00:00,2009-05-08 00:00:00,DEN,Denver International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Kitchen Utensils -Pots; Pans; Knives (heavy aluminum; cast iron; etc.),34.95,Denied,0.0,Deny,13.0,34.95
0602030L,2003-06-02 00:00:00,2003-05-08 00:00:00,TPA,Tampa International,British Airways,Property Damage,Checked Baggage,Luggage (all types including footlockers),120.0,Denied,0.0,Deny,25.0,120.0
2008061145496,2008-06-05 00:00:00,2008-05-14 00:00:00,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other; Sporting Equipment & Supplies (footballs; parachutes; etc.),449.0,Denied,0.0,Deny,22.0,449.0
0225042L,2003-02-25 00:00:00,2003-01-01 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,83.74,Settled,41.5,Settle,55.0,42.239999999999995
2008062746265,2008-06-23 00:00:00,2008-06-09 00:00:00,DEN,Denver International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),49.95,Denied,0.0,Deny,14.0,49.95
2006121316981,2006-12-05 00:00:00,2006-11-04 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer - Laptop,949.94,Settled,313.73,Settle,31.0,636.21
2009021255450,2009-01-30 00:00:00,2009-01-11 00:00:00,LBB,Lubbock International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,313.92,Denied,0.0,Deny,19.0,313.92
0731067M,2003-07-31 00:00:00,2003-04-24 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,354.0,Approved,354.0,Approve in Full,98.0,0.0
2005121397679,2005-12-05 00:00:00,2005-10-31 00:00:00,SEA,Seattle-Tacoma International,British Airways,Passenger Property Loss,Checked Baggage,Computer - Laptop,518.0,Denied,0.0,Deny,35.0,518.0
2006112916433,2006-11-28 00:00:00,2005-11-05 00:00:00,MCO,Orlando International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Audio - CD's,257.58,Denied,0.0,Deny,388.0,257.58
2008102151358,2008-10-20 00:00:00,2008-10-12 00:00:00,RDU,Raleigh-Durham International,Jet Blue,Passenger Property Loss,Checkpoint,Currency,5.0,Approved,5.0,Approve in Full,8.0,0.0
2006022402155,2006-02-21 00:00:00,2006-01-19 00:00:00,COS,Colorado Springs Municipal,American Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,59.0,Approved,59.0,Approve in Full,33.0,0.0
2005042783472,2005-04-26 00:00:00,2005-03-01 00:00:00,CLT,Charlotte/Douglas International Airport,Northwest Airlines,Property Damage,Checked Baggage,Other,150.0,Approved,150.0,Approve in Full,56.0,0.0
0925234M,2003-09-25 00:00:00,2003-09-09 00:00:00,TPA,Tampa International,Southwest Airlines,Property Damage,Checked Baggage,Other,79.99,Settled,40.0,Settle,16.0,39.989999999999995
2008061645690,2008-06-10 00:00:00,2008-05-30 00:00:00,PHL,Philadelphia International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),300.0,Settled,150.0,Settle,11.0,150.0
2007040623610,2007-04-05 00:00:00,2007-03-24 00:00:00,SAN,San Diego International,UAL,Property Damage,Checked Baggage,Locks; Other,136.0,Denied,0.0,Deny,12.0,136.0
2007091331854,2007-09-11 00:00:00,2007-08-31 00:00:00,SMF,Sacramento International Airport,UAL,Property Damage,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),40.0,Denied,0.0,Deny,11.0,40.0
2006091912855,2006-09-15 00:00:00,2006-09-10 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),187.5,Denied,0.0,Deny,5.0,187.5
2004060955197,2004-05-13 00:00:00,2004-04-29 00:00:00,DCA,Ronald Reagan Washington National Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,120.0,Denied,0.0,Deny,14.0,120.0
23582,2002-12-11 00:00:00,2002-11-08 00:00:00,CHA,Chattanooga Metropolitan,Delta Air Lines,Property Damage,Checkpoint,Computer - Laptop,689.59,Approved,690.0,Approve in Full,33.0,-0.40999999999996817
1009162M,2003-10-09 00:00:00,2003-09-07 00:00:00,PBI,Palm Beach International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),35.0,Approved,35.0,Approve in Full,32.0,0.0
2005020375599,2005-01-11 00:00:00,2004-12-30 00:00:00,IND,Indianapolis International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,84.5,Denied,0.0,Deny,12.0,84.5
2008092250202,2008-09-18 00:00:00,2008-08-17 00:00:00,BOS,Boston (Logan) International Airport,Continental Airlines,Property Damage,Checked Baggage,Locks,21.88,Denied,0.0,Deny,32.0,21.88
2006092112963,2006-09-18 00:00:00,2006-08-25 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Barber Supplies - Scissors; shears; elecric razors; etc.,42.77,Approved,42.77,Approve in Full,24.0,0.0
2007101633467,2007-10-10 00:00:00,2007-09-28 00:00:00,MDW,Midway International Airport,Southwest Airlines,Property Damage,Checkpoint,Cell Phones,100.0,Denied,0.0,Deny,12.0,100.0
2006020300899,2006-01-30 00:00:00,2006-01-01 00:00:00,IAD,Washington Dulles International,Alitalia,Property Damage,Checked Baggage,Luggage (all types including footlockers),55.26,Denied,0.0,Deny,29.0,55.26
2007050224914,2007-04-30 00:00:00,2007-03-27 00:00:00,SLC,Salt Lake City International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.); MP3 Players-(iPods; etc); Other,578.63,Denied,0.0,Deny,34.0,578.63
2005082991693,2005-08-09 00:00:00,2005-07-25 00:00:00,MSY,New Orleans International,Delta Air Lines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,30.47,Approved,30.47,Approve in Full,15.0,0.0
2006030702663,2006-03-01 00:00:00,2006-01-17 00:00:00,GUM,Guam,Continental Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,125.0,Approved,125.0,Approve in Full,43.0,0.0
2006042004794,2006-04-11 00:00:00,2006-03-03 00:00:00,DCA,Ronald Reagan Washington National Airport,USAir,Passenger Property Loss,Other,Jewelry - Fine,300.0,Denied,0.0,Deny,39.0,300.0
2006013000596,2006-01-24 00:00:00,2005-12-20 00:00:00,F,Foreign airport,Air Canada,Property Damage,Checkpoint,Computer - Laptop,190.4,Denied,0.0,Deny,35.0,190.4
2006010999111,2006-01-03 00:00:00,2005-12-25 00:00:00,ELP,El Paso International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),95.0,Denied,0.0,Deny,9.0,95.0
0728011M,2003-07-28 00:00:00,2003-06-03 00:00:00,RIC,Richmond International,USAir,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),219.29,Denied,0.0,Deny,55.0,219.29
2007090431314,2007-08-31 00:00:00,2007-08-15 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,349.59,Denied,0.0,Deny,16.0,349.59
2008120253052,2008-12-01 00:00:00,2008-09-10 00:00:00,PIT,Pittsburgh International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Locks,15.0,Denied,0.0,Deny,82.0,15.0
2008051244102,2008-05-06 00:00:00,2008-04-26 00:00:00,TPA,Tampa International,Continental Airlines,Property Damage,Checked Baggage,Jewelry - Costume,75.0,Denied,0.0,Deny,10.0,75.0
2008040942171,2008-03-31 00:00:00,2008-01-06 00:00:00,LAS,McCarran International,Southwest Airlines,Property Damage,Checked Baggage,MP3 Players-(iPods; etc),41.47,Denied,0.0,Deny,85.0,41.47
0624050M,2003-06-24 00:00:00,2003-04-30 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),90.0,Settled,45.0,Settle,55.0,45.0
2007020920646,2007-01-23 00:00:00,2006-07-02 00:00:00,CRP,Corpus Christi International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,119.99,Settled,75.59,Settle,205.0,44.39999999999999
2004110766600,2004-09-23 00:00:00,2004-09-11 00:00:00,ONT,Ontario International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),65.0,Denied,0.0,Deny,12.0,65.0
2004090962477,2004-08-05 00:00:00,2004-05-12 00:00:00,DAY,James M. Cox Dayton International,UAL,Passenger Property Loss,Checkpoint,Other,23.75,Approved,23.75,Approve in Full,85.0,0.0
2007101033190,2007-10-09 00:00:00,2007-09-30 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Paintings and Pictures (including frames; etchings; photos; etc),80.0,Denied,0.0,Deny,9.0,80.0
2004070158140,2004-06-16 00:00:00,2004-05-10 00:00:00,TPA,Tampa International,Southwest Airlines,Employee Loss (MPCECA),Checked Baggage,Eyeglasses - (including contact lenses),239.95,Approved,239.95,Approve in Full,37.0,0.0
2004072960242,2004-07-09 00:00:00,2004-06-20 00:00:00,LGA,LaGuardia,USAir,Passenger Property Loss,Checked Baggage,Jewelry - Fine,1225.0,Settled,920.0,Settle,19.0,305.0
2009011454463,2009-01-07 00:00:00,2008-12-11 00:00:00,MSY,New Orleans International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,31.78,Denied,0.0,Deny,27.0,31.78
2004093064316,2004-08-24 00:00:00,2004-07-06 00:00:00,HOU,William P. Hobby,Southwest Airlines,Property Damage,Checked Baggage,Other,149.0,Settled,104.7,Settle,49.0,44.3
2005033080623,2005-03-23 00:00:00,2005-03-08 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other,99.98,Denied,0.0,Deny,15.0,99.98
2007070927935,2007-06-02 00:00:00,2007-06-28 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,GPS - Global Positioning System,663.97,Denied,0.0,Deny,-26.0,663.97
2008040341783,2008-03-25 00:00:00,2008-03-16 00:00:00,ACY,Atlantic City International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,170.64,Settled,85.32,Settle,9.0,85.32
2009050458304,2009-04-16 00:00:00,2009-03-07 00:00:00,TPA,Tampa International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Bags - Fabric; plastic; etc. (not purses); Video Recordings - Laser Discs,406.22,Denied,0.0,Deny,40.0,406.22
2005010572832,2004-12-16 00:00:00,2004-11-18 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),85.0,Settled,10.0,Settle,28.0,75.0
2005081790765,2005-08-08 00:00:00,2005-07-26 00:00:00,DEN,Denver International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,310.0,Denied,0.0,Deny,13.0,310.0
2004050450465,2004-02-19 00:00:00,2004-01-08 00:00:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Eyeglasses - (including contact lenses),132.0,Approved,132.0,Approve in Full,42.0,0.0
2007122136835,2007-12-18 00:00:00,2007-10-16 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checkpoint,Watches - Inexpensive $100 or less,65.0,Approved,65.0,Approve in Full,63.0,0.0
2006122017542,2006-12-13 00:00:00,2006-12-03 00:00:00,SJU,Luis Munoz Marin International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine; Watches - Expensive more than $100,725.0,Denied,0.0,Deny,10.0,725.0
1222324M,2003-12-22 00:00:00,2003-10-30 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Other,100.0,Settled,50.0,Settle,53.0,50.0
1107052M,2003-11-07 00:00:00,2003-10-07 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,177.4,Denied,0.0,Deny,31.0,177.4
2005120897374,2005-11-30 00:00:00,2005-11-29 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,45.0,Denied,0.0,Deny,1.0,45.0
2008061845863,2008-06-16 00:00:00,2008-06-15 00:00:00,MDW,Midway International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop; Other,722.0,Denied,0.0,Deny,1.0,722.0
2005103195390,2005-10-21 00:00:00,2005-09-28 00:00:00,CID,Eastern Iowa,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,209.95,Approved,209.95,Approve in Full,23.0,0.0
2005011173474,2004-12-22 00:00:00,2004-11-22 00:00:00,PDX,Portland International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,30.0,Approved,25.0,Approve in Full,30.0,5.0
2009081162486,2009-08-04 00:00:00,2009-03-29 00:00:00,LIT,Little Rock National,Southwest Airlines,Passenger Property Loss,Checked Baggage,Photographic Film,8.39,Denied,0.0,Deny,128.0,8.39
0416092L,2003-04-16 00:00:00,2003-03-08 00:00:00,SAN,San Diego International,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),250.0,Settled,50.0,Settle,39.0,200.0
2006101113821,2006-10-04 00:00:00,2006-08-12 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers),29.99,Denied,0.0,Deny,53.0,29.99
2005082991670,2005-08-23 00:00:00,2005-08-12 00:00:00,TUS,Tucson International,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,428.08,Denied,0.0,Deny,11.0,428.08
0610178L,2003-06-10 00:00:00,2003-05-31 00:00:00,AUS,Austin-Bergstrom International Airport,American Airlines,Property Damage,Checkpoint,Locks,100.0,Settled,33.0,Settle,10.0,67.0
2005061086261,2005-06-01 00:00:00,2005-05-20 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),635.0,Approved,635.0,Approve in Full,12.0,0.0
0422108L,2003-04-22 00:00:00,2003-03-23 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,105.0,Approved,105.0,Approve in Full,30.0,0.0
0909090M,2003-09-09 00:00:00,2003-07-23 00:00:00,PHX,Phoenix Sky Harbor International,America West,Passenger Property Loss,Checked Baggage,Locks,20.0,Denied,0.0,Deny,48.0,20.0
2007120636129,2007-12-04 00:00:00,2007-11-13 00:00:00,PWM,Portland International Jetport,Jet Blue,Passenger Property Loss,Checked Baggage,Other,189.0,Denied,0.0,Deny,21.0,189.0
2004061555743,2004-05-13 00:00:00,2004-03-17 00:00:00,OAK,Metropolitan Oakland International,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,100.0,Approved,100.0,Approve in Full,57.0,0.0
2004042950218,2004-03-11 00:00:00,2004-03-01 00:00:00,SJC,Norman Y Mineta San Jose International,Continental Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,25.0,Approved,25.0,Approve in Full,10.0,0.0
2005053185572,2005-05-17 00:00:00,2005-03-24 00:00:00,HNL,Honolulu International Airport,American Airlines,Property Damage,Checked Baggage,Other,195.0,Denied,0.0,Deny,54.0,195.0
2007102934040,2007-10-24 00:00:00,2007-10-04 00:00:00,BDL,Bradley International Airport,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,58.0,Denied,0.0,Deny,20.0,58.0
2009040157116,2009-03-13 00:00:00,2009-02-26 00:00:00,LAS,McCarran International,Southwest Airlines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,98.0,Denied,0.0,Deny,15.0,98.0
1009006M,2003-10-09 00:00:00,2003-05-08 00:00:00,MCO,Orlando International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Currency,100.0,Approved,100.0,Approve in Full,154.0,0.0
2007102333793,2007-10-16 00:00:00,2007-09-10 00:00:00,BIL,Billings; MT,Frontier Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),20.99,Denied,0.0,Deny,36.0,20.99
2007012919726,2007-01-24 00:00:00,2007-01-21 00:00:00,MCO,Orlando International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Currency,150.0,Denied,0.0,Deny,3.0,150.0
2006101714096,2006-10-02 00:00:00,2006-08-14 00:00:00,LAS,McCarran International,UAL,Passenger Property Loss,Checked Baggage,Locks,10.41,Denied,0.0,Deny,49.0,10.41
2004092763938,2004-09-23 00:00:00,2004-06-28 00:00:00,PBI,Palm Beach International,Jet Blue,Passenger Theft,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,55.0,Approved,55.0,Approve in Full,87.0,0.0
2004101364876,2004-08-31 00:00:00,2004-08-15 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,10.0,Approved,10.0,Approve in Full,16.0,0.0
2009031056016,2009-02-20 00:00:00,2009-02-15 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,469.0,Settled,234.5,Settle,5.0,234.5
2009110265010,2009-10-26 00:00:00,2009-07-24 00:00:00,SEA,Seattle-Tacoma International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),448.61,Denied,0.0,Deny,94.0,448.61
2007040223325,2007-03-28 00:00:00,2007-03-25 00:00:00,MIA,Miami International Airport,Northwest Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Other,186.0,Settled,146.0,Settle,3.0,40.0
2005051784819,2005-05-13 00:00:00,2005-04-11 00:00:00,DCA,Ronald Reagan Washington National Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Locks,7.34,Approved,7.34,Approve in Full,32.0,0.0
